material_id,material_name,material_category,unit,standard_cost,supplier_id,lead_time_days,reorder_level,active_flag
MAT00273,Guide Shoe Assembly - High-Speed,Guide Rails,EA,449.39,SUP0053,22,38,Y
MAT00274,Rail Lubrication Unit - Heavy-Duty,Guide Rails,EA,297.11,SUP0053,31,24,Y
MAT00275,Counterweight Guide Rail - Premium,Guide Rails,KG,279.49,SUP0100,13,79,Y
MAT00276,Machine Room Steel Frame - Compact,Structural Steel,EA,53.35,SUP0026,15,59,Y
MAT00277,Pit Steel Structure - Standard,Structural Steel,M,1170.9,SUP0050,20,36,Y
MAT00278,Counterweight Frame - Compact,Structural Steel,KG,1605.45,SUP0065,6,5,Y
MAT00279,Car Sling Frame - High-Speed,Structural Steel,M,379.94,SUP0026,15,24,Y
MAT00280,Cross Head Beam - High-Speed,Structural Steel,M,496.88,SUP0097,23,35,Y
MAT00281,Machine Room Steel Frame - Standard,Structural Steel,KG,68.01,SUP0003,29,66,Y
MAT00282,Pit Steel Structure - Heavy-Duty,Structural Steel,ROLL,221.59,SUP0050,39,23,Y
MAT00283,Counterweight Frame - Standard,Structural Steel,M,53.22,SUP0050,14,48,Y
MAT00284,Car Sling Frame - Premium,Structural Steel,KG,312.1,SUP0026,18,58,Y
MAT00285,Cross Head Beam - Compact,Structural Steel,KG,70.0,SUP0003,35,47,Y
MAT00286,Machine Room Steel Frame - Compact,Structural Steel,ROLL,747.92,SUP0065,24,61,Y
MAT00287,Pit Steel Structure - Standard,Structural Steel,EA,432.58,SUP0065,25,66,Y
MAT00288,Counterweight Frame - Heavy-Duty,Structural Steel,EA,924.41,SUP0026,22,67,Y
MAT00289,Car Sling Frame - High-Speed,Structural Steel,EA,223.69,SUP0026,35,33,Y
MAT00290,Cross Head Beam - Compact,Structural Steel,M,1481.69,SUP0065,20,14,Y
MAT00291,Machine Room Steel Frame - Standard,Structural Steel,ROLL,278.13,SUP0026,14,71,Y
MAT00292,Pit Steel Structure - Compact,Structural Steel,M,127.41,SUP0065,16,5,Y
MAT00293,Counterweight Frame - Premium,Structural Steel,SET,155.66,SUP0097,3,10,Y
MAT00294,Car Sling Frame - Compact,Structural Steel,M,523.44,SUP0026,28,60,Y
MAT00295,Cross Head Beam - Standard,Structural Steel,SET,93.04,SUP0065,20,49,Y
MAT00296,Machine Room Steel Frame - Premium,Structural Steel,EA,76.83,SUP0050,36,71,Y
MAT00297,Pit Steel Structure - High-Speed,Structural Steel,SET,196.18,SUP0097,21,55,Y
MAT00298,Counterweight Frame - High-Speed,Structural Steel,SET,31.76,SUP0003,18,32,Y
MAT00299,Car Sling Frame - Standard,Structural Steel,KG,89.87,SUP0026,18,94,Y
MAT00300,Cross Head Beam - High-Speed,Structural Steel,EA,464.44,SUP0050,15,64,Y
